simulation,mean_words,question_percent
193,89.07111111111111,29.777777777777775
194,54.87555555555556,32
195,44.684444444444445,28.000000000000004
196,178.14666666666668,27.555555555555557
197,228.92444444444445,28.000000000000004
198,48.306666666666665,32.44444444444444
199,152.2488888888889,29.777777777777775
200,76.7911111111111,31.11111111111111
201,155.1688888888889,23.555555555555554
202,82.13777777777777,33.33333333333333
203,96.12444444444445,32
204,122.61333333333333,30.22222222222222
205,70.89333333333333,29.777777777777775
206,49.49333333333333,29.333333333333332
207,86.96444444444444,31.11111111111111
208,44.53333333333333,34.66666666666667
209,145.25333333333333,37.77777777777778
210,147.82666666666665,32.44444444444444
211,147.68,36.888888888888886
212,91.01333333333334,31.555555555555554
213,78.04888888888888,32.88888888888889
214,148.2488888888889,36
215,82.37777777777778,35.11111111111111
216,46.715555555555554,24
217,86.63555555555556,37.333333333333336
218,44.977777777777774,36.44444444444444
219,78.76,34.22222222222222
220,47.54222222222222,32.88888888888889
221,48.266666666666666,32.88888888888889
222,44.91555555555556,27.555555555555557
223,79.06222222222222,30.22222222222222
224,77.49777777777778,33.33333333333333
225,86.2311111111111,34.22222222222222
226,48.88,32.44444444444444
227,47.80888888888889,34.66666666666667
228,79.92888888888889,30.22222222222222
229,54.61333333333334,28.444444444444443
230,79.14666666666666,32.44444444444444
231,178.04888888888888,32.88888888888889
232,80.52,32
233,87.75111111111111,34.66666666666667
234,59.87555555555556,34.66666666666667
235,84.97333333333333,29.333333333333332
236,79.19111111111111,26.222222222222225
237,84.87555555555555,31.555555555555554
238,79.32444444444444,32.44444444444444
239,121.52888888888889,31.555555555555554
240,74.70666666666666,35.11111111111111
241,87.94666666666667,36.44444444444444
242,151.64888888888888,36
243,83.88,28.444444444444443
244,41.16888888888889,34.22222222222222
245,114.84,33.33333333333333
246,83.93777777777778,29.777777777777775
247,46.74666666666667,28.444444444444443
248,44.937777777777775,32
249,111.28,32.88888888888889
250,46.4,28.444444444444443
251,56.217777777777776,35.11111111111111
252,161.96444444444444,30.666666666666664
253,59,35.55555555555556
254,49.897777777777776,30.22222222222222
255,86.2088888888889,28.000000000000004
256,76.65333333333334,37.333333333333336
257,78.08444444444444,36.44444444444444
258,81.36888888888889,32
259,77.07555555555555,30.666666666666664
260,75.09333333333333,36.888888888888886
261,77.24,37.333333333333336
262,121.53333333333333,29.333333333333332
263,47.05777777777778,30.22222222222222
264,42.72,30.666666666666664
265,44.382222222222225,28.888888888888886
266,91.07555555555555,29.333333333333332
267,88.50666666666666,28.444444444444443
268,54.937777777777775,29.777777777777775
269,89.71111111111111,31.11111111111111
270,46.257777777777775,35.55555555555556
271,81.45333333333333,28.888888888888886
272,49.626666666666665,28.888888888888886
273,52.75555555555555,36
274,44.964444444444446,35.55555555555556
275,44.16888888888889,35.55555555555556
276,113.67111111111112,31.11111111111111
277,50.44444444444444,32.44444444444444
278,85.67111111111112,34.66666666666667
279,52.86666666666667,32
280,42.102222222222224,26.222222222222225
281,46.946666666666665,33.77777777777778
282,93.7911111111111,31.555555555555554
283,49.791111111111114,32.44444444444444
284,54.37777777777778,30.666666666666664
285,122.30666666666667,31.555555555555554
286,81.70222222222222,29.333333333333332
287,81.03111111111112,30.666666666666664
288,46.70666666666666,35.55555555555556
289,76.04,31.11111111111111
290,43.724444444444444,29.777777777777775
291,85.65777777777778,33.77777777777778
292,151.63111111111112,29.333333333333332
293,77.37777777777778,31.555555555555554
294,82.13333333333334,34.22222222222222
295,114.21333333333334,32.44444444444444
296,40.44,33.77777777777778
297,78.35555555555555,32.88888888888889
298,74.82222222222222,30.666666666666664
299,79.41333333333333,32
300,78.62222222222222,26.222222222222225
301,146.2711111111111,34.22222222222222
302,81.24888888888889,32.88888888888889
303,79.47111111111111,33.33333333333333
304,50.306666666666665,26.222222222222225
305,87.09777777777778,30.22222222222222
306,127.23555555555555,31.555555555555554
307,87.25333333333333,36.888888888888886
308,144.7111111111111,36.888888888888886
309,114.12444444444445,28.000000000000004
310,153.99555555555557,30.22222222222222
311,46.50222222222222,34.22222222222222
312,77.73777777777778,35.11111111111111
313,120.41777777777777,34.22222222222222
314,80.75111111111111,32.44444444444444
315,77.30222222222223,29.333333333333332
316,119.01333333333334,25.77777777777778
317,44.333333333333336,34.66666666666667
318,83.08888888888889,28.444444444444443
319,39.47555555555556,26.666666666666668
320,176.5822222222222,37.77777777777778
321,81.30666666666667,27.111111111111114
322,50.111111111111114,32.44444444444444
323,56.36888888888889,29.333333333333332
324,121.92444444444445,29.333333333333332
325,39.24444444444445,31.555555555555554
326,50.32888888888889,35.11111111111111
327,85.31111111111112,28.888888888888886
328,71.90666666666667,37.77777777777778
329,125.08444444444444,32.44444444444444
330,44.364444444444445,30.666666666666664
331,115.8488888888889,30.666666666666664
332,42.08,29.777777777777775
333,41.73777777777778,31.555555555555554
334,55.782222222222224,36.44444444444444
335,79.30222222222223,33.33333333333333
336,47.56444444444445,31.11111111111111
337,121.23555555555555,28.444444444444443
338,83.13333333333334,32
339,77.74666666666667,29.333333333333332
340,91.56,25.333333333333336
341,120.30222222222223,32.44444444444444
342,87.90666666666667,25.333333333333336
343,107.37777777777778,30.666666666666664
344,78.64888888888889,30.666666666666664
345,86.14222222222222,30.666666666666664
346,43.355555555555554,31.555555555555554
347,46.72888888888889,32.88888888888889
348,127.25333333333333,28.888888888888886
349,50.111111111111114,39.111111111111114
350,77.01777777777778,31.555555555555554
351,78.41333333333333,37.77777777777778
352,40.30222222222222,33.77777777777778
353,84.74222222222222,31.11111111111111
354,76.37333333333333,25.333333333333336
355,76.30222222222223,30.666666666666664
356,51.18666666666667,29.777777777777775
357,82.74222222222222,32
358,79.51555555555555,32.44444444444444
359,122.08,30.666666666666664
360,81.35111111111111,36.44444444444444
361,107.48,31.555555555555554
362,84.13777777777777,36
363,52.13333333333333,34.22222222222222
364,38.89333333333333,34.22222222222222
365,43.98222222222222,32.44444444444444
366,164.4622222222222,26.222222222222225
367,43.08,26.222222222222225
