speaker,text,words,contains_question
MR. UNIKOWSKY,And so the arbitration award functions like a release or res judicata. It's a defense saying this case has been resolved in a different forum.,25,FALSE
JUSTICE KAVANAUGH,"Got it.    So the confirm or vacate, though, goes to state court in those cases?",15,TRUE
JUSTICE KAVANAUGH,"If you come back and the original jurisdiction was based on diversity of citizenship, you still have the diversity when you come back?     Can you --",26,TRUE
MR. UNIKOWSKY,Correct.   The face of the application --,7,FALSE
JUSTICE KAVANAUGH,Then you go to federal court?,6,TRUE
MR. UNIKOWSKY,"You can, because there's a independent jurisdictional basis on the face --",12,FALSE
JUSTICE KAVANAUGH,"Which it just strikes me as odd that if the original case to Justice Thomas's question was based on federal question jurisdiction, you'd end up in state court to confirm or vacate whereas, if the original jurisdiction was based on diversity and that still exists at the end, you would end up in federal court.    It seems like an odd result.",61,FALSE
MR. UNIKOWSKY,I don't think it's so odd because the follow-up dispute at its core is a contract dispute.      The parties aren't debating anymore the merits of the federal claims.    That's been resolved by the arbitrator.    All the parties are addressing --,40,FALSE
JUSTICE KAVANAUGH,There's still a pending federal case based on federal question jurisdiction.,11,FALSE
MR. UNIKOWSKY,"That -- that's true. But, once -- once the arbitration is over and there is an arbitration award and we're at the stage where the court is considering a Section 9 or 10 application, the issue is not whether or not the federal claims have merit or not. That's already been resolved by the arbitrator. The issue is whether the arbitrator committed fraud, exceeded its powers, things that have nothing to do with the federal claims.      And Badgerow's insight from our perspective is that at core is a contractual dispute.",90,FALSE
JUSTICE GORSUCH,Mr. Unikowsky --,3,FALSE
JUSTICE KAVANAUGH,What should --,3,FALSE
JUSTICE GORSUCH,"I'm sorry, please.",3,FALSE
JUSTICE KAVANAUGH,Go ahead.    Go ahead.   I just asked.,7,FALSE
JUSTICE GORSUCH,"That was my question too.   And I'm struggling to come up with a reason why Congress, in the Federal Arbitration Act, might have wanted diversity cases to remain in federal court for confirmation proceedings but federal question cases to go to state court. You're -- you're a very clever fellow. What -- what -- what -- what -- what might you imagine Congress's policy judgment would have been in that -- for that?",73,TRUE
MR. UNIKOWSKY,"I think it's a similar policy judgment that underlay Badgerow.     And I do recognize that in Badgerow there was no preexisting federal suit, but nonetheless, in Badgerow, the underlying question was federal. Like, the question was whether the arbitrator's resolution of federal claims complied with the Federal Arbitration Act, and the Court said that at core that's a contract dispute. And courts only have jurisdiction over contract disputes when the requirements for diversity of citizenship are satisfied, and so that's ultimately the distinction.",83,FALSE
JUSTICE GORSUCH,Okay.,1,FALSE
MR. UNIKOWSKY,"And, as a policy matter, I mean, what's happening in this case is, ultimately, the court is entering a judgment.   Most -- the reason people typically seek to confirm arbitration awards is because they want a judgment they can execute on. That's why most confirm or vacate proceedings are when the plaintiff wins and they have a judgment and they want to use the authority of the court. And so, you know, state courts are very good at entering judgments and enforcing them.    That's why Congress made a different decision in Section 8 cases, where the court seizes a ship, because, in that case, it makes perfect sense for the federal court to enter a judgment because it already has possession of the ship.    So I think that's a sensible reason Congress would have said that we want the federal court to enter the judgment in the American courts.",149,FALSE
JUSTICE GORSUCH,Thank -- thank you. I think Justice Kavanaugh had more.,10,FALSE
JUSTICE KAGAN,So --,2,FALSE
MR. UNIKOWSKY,I'm sorry.,2,FALSE
JUSTICE KAVANAUGH,Go ahead.,2,FALSE
JUSTICE KAGAN,"-- am I right, Mr. Unikowsky, that your understanding of where Section 5 and 7 would continue to apply, it's really only in these diversity suits again?",27,TRUE
MR. UNIKOWSKY,"I think so.     But I think there's an argument possibly the other way that wouldn't apply in this case.      So I think the correct answer, like, my ultimate bottom-line position is that's -- that, yes, there has to be an independent jurisdictional basis in Sections 5 and 7.   You know, Section 4 has look-through jurisdiction.   Section 8 has the anchor.   And if such language isn't present, there needs to be an independent jurisdictional basis. Now I think there's a reasonable contrary argument that wouldn't apply here under the second head as Kokkonen puts it of -- of ancillary jurisdiction.   There is an argument theoretically available that if the court compels arbitration but there's no arbitrator, appointing an arbitrator is a way of enforcing the order compelling arbitration. So I think a court could reach that conclusion, which wouldn't apply here because the arbitration is over.    Like, the order compelling arbitration has been carried out. So I think the Court can reserve this question until the next time it has the opportunity to decide whether a particular type of arbitration --",180,FALSE
JUSTICE SOTOMAYOR,"Here, the court didn't order arbitration because it thought it didn't have the power to, so --",17,FALSE
MR. UNIKOWSKY,That's correct.    It stayed -- our argument --,8,FALSE
JUSTICE SOTOMAYOR,"So, under your theory, your answer to Justice Kagan is it doesn't have any power.",15,FALSE
MR. UNIKOWSKY,"No, but I think, arguably, even in a case where the court stays pending arbitration like this one, the premise of the stay order is that the arbitration will happen.    Otherwise, the arbitration will last forever.    And so a court -- this is not my -- this is not my bottom-line answer, but I think a court could say that the court is in a sense enforcing the order staying arbitration by appointing an arbitrator to make sure the arbitration happens.    That's just a way a court might avoid that result. But, ultimately, I think that the FAA says what it says.    The court -- you know, Congress included jurisdictional language where one --",114,FALSE
JUSTICE SOTOMAYOR,"All right.    Thank you, counsel.",5,FALSE
JUSTICE JACKSON,"Counsel, no one -- oh.",5,FALSE
JUSTICE KAVANAUGH,Go ahead.,2,FALSE
JUSTICE JACKSON,"No one, I think, disputes the court's jurisdiction to enter a consent decree.   So why isn't confirmation of an arbitral -- arbitral award analogous since both involve taking a private resolution and making it a judgment of the court?",39,TRUE
MR. UNIKOWSKY,"Because consent decrees require a degree of judicial involvement that doesn't exist when the court confirms an arbitration award.    There's a rich body of law from this Court about when a court can enter a consent decree, and the Court has made clear that the court has to undertake an independent assessment of considerations such as whether or not the terms of the consent decree advance the objectives underlying the law at issue in the complaint and whether there's a sufficient nexus between the terms of the decree and the complaint. Obviously, there's a lot of discretion to the parties, but still, precisely because it's a judgment of the court, the court has to undertake an independent assessment of the terms.   That doesn't really happen under the FAA.",128,FALSE
